moviename,charactername,time
 Captain America: The Winter Soldier,Pietro Maximoff,0.25
 Captain America: The Winter Soldier,Raza,0
 Captain America: The Winter Soldier,Rocket Raccoon,0
 Captain America: The Winter Soldier,Ronan the Accuser,0
 Captain America: The Winter Soldier,Sam Wilson,14.25
 Captain America: The Winter Soldier,Samuel Sterns,0
 Captain America: The Winter Soldier,Savin,0
 Captain America: The Winter Soldier,Scott Lang,0
 Captain America: The Winter Soldier,Sharon Carter,2.5
 Captain America: The Winter Soldier,Sif,0
 Captain America: The Winter Soldier,Skurge,0
 Captain America: The Winter Soldier,Steve Rogers,59
 Captain America: The Winter Soldier,T'Challa,0
 Captain America: The Winter Soldier,Taserface,0
 Captain America: The Winter Soldier,The Collector,0
 Captain America: The Winter Soldier,Thor,0
 Captain America: The Winter Soldier,Tinkerer,0
 Captain America: The Winter Soldier,Tony Stark,0
 Captain America: The Winter Soldier,Trevor Slattery,0
 Captain America: The Winter Soldier,Ultron,0
 Captain America: The Winter Soldier,Valkyrie,0
 Captain America: The Winter Soldier,Vision,0
 Captain America: The Winter Soldier,Volstagg,0
 Captain America: The Winter Soldier,Wanda Maximoff,0.25
 Captain America: The Winter Soldier,Wong,0
 Captain America: The Winter Soldier,Yondu Udonta,0
 Captain America: The Winter Soldier,Zemo,0
 Doctor Strange,Adrian Toomes,0
 Doctor Strange,Agent Phil Coulson,0
 Doctor Strange,Aldrich Killian,0
 Doctor Strange,Alexander Pierce,0
 Doctor Strange,Algrim,0
 Doctor Strange,Ancient One,17.25
 Doctor Strange,Arnim Zola,0
 Doctor Strange,Ayesha,0
 Doctor Strange,Baron Mordo,17.75
 Doctor Strange,Betty Ross,0
 Doctor Strange,Bruce Banner,0
 Doctor Strange,Bucky Barnes,0
 Doctor Strange,Cassandra Lang,0
 Doctor Strange,Chester Phillips,0
 Doctor Strange,Christine Everhart,0
 Doctor Strange,Christine Palmer,12.75
 Doctor Strange,Clint Barton,0
 Doctor Strange,Col. James Rhodes,0
 Doctor Strange,Crossbones,0
 Doctor Strange,Darcy Lewis,0
 Doctor Strange,Darren Cross,0
 Doctor Strange,Dr. Abraham Erskine,0
 Doctor Strange,Dr. Helen Cho,0
 Doctor Strange,Dr. Stephen Strange,73.5
 Doctor Strange,Drax the Destroyer,0
 Doctor Strange,Ego the Living Planet,0
 Doctor Strange,Emil Blonsky,0
 Doctor Strange,Erik Selvig,0
 Doctor Strange,Fandral,0
 Doctor Strange,Frigga,0
 Doctor Strange,Gamora,0
 Doctor Strange,Gen. Thaddeus Ross,0
 Doctor Strange,Grandmaster,0
 Doctor Strange,Groot,0
 Doctor Strange,Hank Pym,0
 Doctor Strange,Happy Hogan,0
 Doctor Strange,Harley Keener,0
 Doctor Strange,Heimdall,0
 Doctor Strange,Hela,0
 Doctor Strange,Ho Yinsen,0
 Doctor Strange,Hogun,0
 Doctor Strange,Hope van Dyne,0
 Doctor Strange,Howard Stark,0
 Doctor Strange,Ivan Vanko,0
 Doctor Strange,Jane Foster,0
 Doctor Strange,Jasper Sitwell,0
 Doctor Strange,Johann Schmidt,0
 Doctor Strange,Justin Hammer,0
 Doctor Strange,Kaecilius,12.75
